kegg	drugbank
D09371	DB05578
D10454	DB05594
D09343	DB05595
D00582	DB05630
D08860	DB05676
D09214	DB05679
D06608	DB05683
D08909	DB05719
D09980	DB05773
D09701	DB05812
D05817	DB05885
D09360	DB05990
D10383	DB06013
D09900	DB06014
D09997	DB06016
D09939	DB06043
D00561	DB06144
D01047	DB06147
D02142	DB06149
D01142	DB06150
D00221	DB06151
D01721	DB06154
D05731	DB06155
D04031	DB06159
D09315	DB06168
D06637	DB06176
D06596	DB06185
D04603	DB06186
D04492	DB06196
D05775	DB06201
D04672	DB06202
D06553	DB06203
D06007	DB06204
D05940	DB06206
D01965	DB06207
D05597	DB06209
D03978	DB06210
D03895	DB06211
D01213	DB06212
D05711	DB06213
D04177	DB06215
D02995	DB06216
D06665	DB06217
D07299	DB06218
D03640	DB06219
D07086	DB06228
D05111	DB06230
D03217	DB06237
D07883	DB06243
D04436	DB06261
D01277	DB06262
D08617	DB06264
D07257	DB06266
D10027	DB06267
D07171	DB06268
D08547	DB06271
D02596	DB06273
D02878	DB06274
D07402	DB06282
D06363	DB06283
D06078	DB06285
D06068	DB06287
D07310	DB06288
D10081	DB06290
D08897	DB06292
D09337	DB06317
D08996	DB06335
D05446	DB06366
D06635	DB06372
D06327	DB06393
D03062	DB06401
D01009	DB06410
D00490	DB06412
D03215	DB06413
D04112	DB06414
D03317	DB06415
D02391	DB06419
D03261	DB06439
D02556	DB06440
D03359	DB06441
D06021	DB06457
D05061	DB06462
D06202	DB06527
D04282	DB06554
D05380	DB06589
D08884	DB06590
D02578	DB06594
D05029	DB06595
D10019	DB06603
D03213	DB06605
D05393	DB06611
D04923	DB06612
D03252	DB06616
D07978	DB06623
D03218	DB06626
D10643	DB06636
D04127	DB06637
D03684	DB06643
D09314	DB06650
D06404	DB06655
D10147	DB06663
D04358	DB06674
D03222	DB06681
D09568	DB06682
D09698	DB06684
D06644	DB06688
D02276	DB06689
D00102	DB06690
D08183	DB06691
D02971	DB06692
D08684	DB06694
D07144	DB06695
D07462	DB06696
D02483	DB06697
D07522	DB06698
D08901	DB06699
D07793	DB06700
D07226	DB06702
D07420	DB06703
D04559	DB06704
D04286	DB06705
D02388	DB06707
D03821	DB06708
D00408	DB06710
D08253	DB06711
D01908	DB06712
D05205	DB06713
D05637	DB06714
D01016	DB06715
D04257	DB06716
D06597	DB06717
D00444	DB06718
D01831	DB06719
D09029	DB06720
D00932	DB06724
D01866	DB06725
D01041	DB06727
D01954	DB06729
D01545	DB06736
D01547	DB06737
D08100	DB06738
D01123	DB06739
D08634	DB06753
D03101	DB06755
D07523	DB06756
D04854	DB06757
D02736	DB06759
D05782	DB06760
D03096	DB06761
D08578	DB06764
D06552	DB06766
D02920	DB06768
D07085	DB06769
D00077	DB06770
D08872	DB06771
D09755	DB06772
D00250	DB06774
D07130	DB06775
D00163	DB06777
D03353	DB06779
D03698	DB06780
D01266	DB06781
D00167	DB06782
D08010	DB06785
D01308	DB06786
D02369	DB06788
D00949	DB06789
D04666	DB06791
D04762	DB06794
D02351	DB06795
D01807	DB06797
D00393	DB06799
D06618	DB06800
D05143	DB06802
D00436	DB06803
D06490	DB06804
D08971	DB06809
D00468	DB06810
D01993	DB06811
D00863	DB06812
D05589	DB06813
D06676	DB06817
D05868	DB06819
D08535	DB06820
D02517	DB06821
D06398	DB06822
D01430	DB06823
D06247	DB06825
D02966	DB07402
D02027	DB07615
D09899	DB07933
D01055	DB08188
D05197	DB08313
D02709	DB08439
D06226	DB08604
D05484	DB08796
D01811	DB08797
D02516	DB08798
D07458	DB08799
D07195	DB08800
D07853	DB08801
D08091	DB08802
D07373	DB08803
D00955	DB08804
D05004	DB08805
D08495	DB08806
D07537	DB08807
D07590	DB08808
D07700	DB08810
D01254	DB08811
D04820	DB08815
D09017	DB08816
D08043	DB08818
D06274	DB08819
D09916	DB08820
D08865	DB08822
D09384	DB08823
D10014	DB08824
D07416	DB08826
D09637	DB08827
D09992	DB08828
D07374	DB08835
D08566	DB08836
D01862	DB08860
